time (s),zmp_x,zmp_y,area,perimeter,com_x,com_y,com_z,init_x_offset
0.001,1.225357275793094,3.690759744941095,112.155,33.650265400697826,0.9143220012771957,3.8652157149153252,24.73843595504507,0.0
0.091,1.1995980379773976,3.4504093590614686,112.155,33.650265400697826,0.7315495196818442,2.0032909857460433,24.94007476843434,-0.021021004766225815
0.192,1.8758090623039143,1.0156885074478221,229.32999999999998,42.70768096208106,3.7295692895201826,-7.114336699551182,23.865697221210525,-0.021082060411572456
0.293,2.322352895658381,1.1824408410686216,112.155,33.650265400697826,3.2607312444126166,1.1381323961764622,24.853782774539262,-0.01947934366762638
0.393,1.3681083338467994,1.1087846584940744,229.32999999999998,42.70768096208106,-2.167182252520981,0.9550893309732218,24.898749586141847,-0.018421024084091187
0.493,1.4147180613607793,3.3425657911916,112.155,33.650265400697826,1.1921282557778907,10.175773412964059,22.885437180053934,-0.02068265527486801
0.592,1.5457133771832208,2.857555117011427,229.32999999999998,42.70768096208106,1.8869986957441727,1.3122497362295302,24.982647511194497,-0.020572181791067123
0.692,1.804152778686524,2.4798288756371063,229.32999999999998,42.70768096208106,2.0948275520462465,0.8779096814249016,24.92409581673147,-0.020261703059077263
0.795,2.119319885751886,-0.15278474230492445,229.32999999999998,42.70768096208106,2.7848079747356667,-8.794836911504955,23.414881626158216,-0.019649174064397812
0.895,1.9935035069247,-0.05710744652161877,229.32999999999998,42.70768096208106,1.1140074262517952,0.07623167586570588,25.03520585020052,-0.018902214244008064
0.995,0.7989842331139777,0.2786225307237576,229.32999999999998,42.70768096208106,-3.359789486575013,1.5829506541094467,24.7206701873815,-0.0192004032433033
1.095,0.8378609201280438,2.8378839628703574,112.155,33.650265400697826,0.7903746193285281,11.247117563453543,22.496530527784206,-0.022031649947166443
1.192,0.7967854367092757,4.181431764990887,112.155,33.650265400697826,0.7666562644802473,8.331318113380497,23.590025024472528,-0.02193949557840824
1.297,0.7571754876171342,4.435814513610458,112.155,33.650265400697826,0.19593084433389832,4.745479260631816,24.628945610035462,-0.02203686162829399
1.393,0.9379811248214509,2.1202522857388293,229.32999999999998,42.70768096208106,1.272299916656141,-5.940704504887754,24.42560458812248,-0.022130755707621574
1.492,0.9222445002459277,1.4080946197959536,229.32999999999998,42.70768096208106,0.8159762967945854,-1.302899181817371,25.009060915601413,-0.021702172234654427
1.592,0.8783603266395038,1.489541734038512,229.32999999999998,42.70768096208106,0.5094244542152329,1.5987639686199808,24.920085980083726,-0.021739473566412926
1.692,1.5479031155149552,3.712257642904486,112.155,33.650265400697826,3.510331840698201,10.693223634343067,22.42931067598527,-0.021843496710062027
1.793,2.5017122189779317,3.925480211206139,112.155,33.650265400697826,5.2501315858838895,4.201235260791526,24.092077154545663,-0.020256511867046356
1.892,2.2439795474965356,3.6562529126343253,229.32999999999998,42.70768096208106,0.661150315066377,2.3791013024938708,24.95038569074143,-0.017995942384004593
1.996,1.8330551389819114,0.8751535633706893,229.32999999999998,42.70768096208106,0.19109299484673817,-8.696781153359552,23.696649519040708,-0.018606768921017647
2.093,1.41383069094845,-0.14865503946227732,229.32999999999998,42.70768096208106,-0.17955128789570668,-3.4876345496417898,24.770786616650323,-0.019580673426389694
2.194,0.4790182855383961,0.275999343451604,112.155,33.650265400697826,-2.6631988809330567,1.6879690528225781,24.786200876282187,-0.020574284717440605
2.293,0.7258313271678657,2.189188036357188,112.155,33.650265400697826,1.5006610733251315,8.631603205360904,23.611634714169927,-0.022790133953094482
2.392,1.2329473161644748,3.575131798971003,112.155,33.650265400697826,2.961788837052886,7.597011523617831,23.697649496162487,-0.022205054759979248
2.492,1.9673354287676292,3.7867429691926007,112.155,33.650265400697826,3.886669828783236,4.24043345841477,24.40463529815664,-0.021003015339374542
2.592,2.3866248066891824,1.7168741803377647,229.32999999999998,42.70768096208106,3.369007326101388,-5.579818279149311,24.371053265164075,-0.019262421876192093
2.692,2.2938266766012636,0.7393175856941026,229.32999999999998,42.70768096208106,1.4935693423286742,-2.526066658059968,24.843799391336482,-0.018268698826432228
2.792,1.7782383031082338,1.1704250458859307,112.155,33.650265400697826,-0.38221054999751203,2.368067234815415,24.880344875123225,-0.018488630652427673
2.893,1.641363175153161,3.558205172030034,112.155,33.650265400697826,0.9417906511678497,11.418188227771614,22.37139226987012,-0.019710592925548553
2.995,1.1151299594396034,4.606083563736231,112.155,33.650265400697826,-0.5523363750699831,7.033467343514501,23.98974741536613,-0.020035000517964363
3.094,1.165023249642273,4.250304302528591,229.32999999999998,42.70768096208106,0.9230192384148246,2.728704028959073,24.901547068454878,-0.021282272413372993
3.193,1.1587612764080955,2.0682515050299077,229.32999999999998,42.70768096208106,1.1378859775568988,-5.708132714680952,24.53019171707113,-0.02116401307284832
3.293,1.4998145801694296,0.47143368200610714,229.32999999999998,42.70768096208106,2.2879636520224893,-4.61171224593627,24.473593207362324,-0.021178854629397392
3.393,1.6858489394317486,0.7321772822395028,112.155,33.650265400697826,1.855960921091666,1.4614419678674222,24.86910881785858,-0.020370488986372948
3.493,2.0215309726384083,2.576308361331208,112.155,33.650265400697826,2.9098769257320694,8.821209290703859,23.37984137490286,-0.019929565489292145
3.593,2.766761321898513,4.1143383246251535,112.155,33.650265400697826,4.692397622287017,8.239324932316592,23.149542853619717,-0.019133977591991425
3.693,2.831413841855502,3.911810897902364,229.32999999999998,42.70768096208106,2.2200854947648,2.96460166461567,24.807788284460713,-0.0173677746206522
3.793,2.039974116503319,1.5425481591170414,229.32999999999998,42.70768096208106,-0.8556595057997007,-6.831061352667951,24.21813051162509,-0.017214547842741013
3.893,1.434346201447283,0.2650534340613687,229.32999999999998,42.70768096208106,-0.6892493542444368,-3.7556497340872195,24.726323811630653,-0.01909026689827442
3.994,1.349242269681382,0.7955855934616692,112.155,33.650265400697826,0.5734452293083029,2.1185714381479697,24.919605830488315,-0.020525658503174782
4.091,1.1580341593023884,2.2358081204050784,112.155,33.650265400697826,0.48944788044485227,7.118765455731457,24.0682651773485,-0.0207273717969656
4.194,1.8466412840941542,3.557971668716112,112.155,33.650265400697826,3.749376719787085,7.109718241978499,23.70787497118942,-0.02118057757616043
4.294,2.419553211509758,3.0301476947061303,229.32999999999998,42.70768096208106,3.483482329004658,1.380324121138435,24.815539587038078,-0.01954847387969494
4.394,1.9185221161749735,1.8324449277547532,229.32999999999998,42.70768096208106,0.06277673036170194,-2.6491780408067465,24.97182960213082,-0.0181906595826149
4.494,1.5144801881778813,0.665598627751891,229.32999999999998,42.70768096208106,-0.11725651146532351,-3.2944610604788265,24.845132446727888,-0.019378112629055977
4.595,1.3779480341400494,1.130842669251631,112.155,33.650265400697826,0.47832004109208764,2.055671800020038,24.943482156231696,-0.020335728302598
4.693,0.8192574363491727,2.0000908461919367,112.155,33.650265400697826,-1.0383512144451397,4.872600504410054,24.542048576364774,-0.02065933309495449
4.793,1.0054983218822615,3.284481996964365,112.155,33.650265400697826,1.3978414941202422,6.836065188951142,24.051015800501606,-0.021983593702316284
4.893,1.7630762148209187,2.7948062693478057,229.32999999999998,42.70768096208106,3.3240358730736395,1.40090625337996,24.859551339609002,-0.021542133763432503
4.994,1.0162141177479846,2.0488762765810105,229.32999999999998,42.70768096208106,-1.5615529384865265,-0.941842766715215,25.00817759664176,-0.019746528938412666
