time (s),zmp_x,zmp_y,area,perimeter,com_x,com_y,com_z,init_x_offset
0.053,1.907989070036141,1.4104501517113401,229.32999999999998,42.70768096208106,1.5212232282902658,1.308304302728009,24.911349143121218,0.0
0.156,1.9067814192109207,1.4128801909514694,229.32999999999998,42.70768096208106,1.5078301715695785,1.3012602267510864,24.912530712351884,-0.01769999973475933
0.256,1.8913667862006753,1.4113864436501284,229.32999999999998,42.70768096208106,1.452160127146177,1.2878607506079196,24.916721854367555,-0.01769999973475933
0.353,1.8952539872223113,1.41646399756066,229.32999999999998,42.70768096208106,1.5145545224504275,1.3121813792023063,24.91158970519588,-0.01769999973475933
0.456,1.8927905847193243,1.4163123848202819,229.32999999999998,42.70768096208106,1.493666546109705,1.2958722264504796,24.91370550604982,-0.01769999973475933
0.554,1.8947366330528552,1.4113286669364886,229.32999999999998,42.70768096208106,1.5081766106514056,1.2770155310088116,24.913802692346696,-0.01769999973475933
0.654,1.8889545076320058,1.4075408414234845,229.32999999999998,42.70768096208106,1.4807139674691778,1.2778702609956814,24.91519185092247,-0.01769999973475933
0.753,1.8907362778441352,1.410727441193529,229.32999999999998,42.70768096208106,1.5047934234479936,1.30194457948175,24.912752702476386,-0.01769999973475933
0.853,1.894737754608308,1.413434397109163,229.32999999999998,42.70768096208106,1.5146927426296926,1.3025192690879859,24.9120877947868,-0.01769999973475933
0.955,1.8961998798910369,1.4056822703126488,229.32999999999998,42.70768096208106,1.5081701259310374,1.2642377646310277,24.914453633633187,-0.01769999973475933
1.056,1.8925084905093201,1.4008421370157234,229.32999999999998,42.70768096208106,1.4891518165354989,1.269444671290288,24.91549861021422,-0.01769999973475933
1.156,1.8867221711859261,1.4022728932155135,229.32999999999998,42.70768096208106,1.4784464343727952,1.2899182424936202,24.914921449762534,-0.01769999973475933
1.256,1.8909267800002603,1.3933145384706058,229.32999999999998,42.70768096208106,1.512422433410056,1.2508981663552174,24.91483240430498,-0.01769999973475933
