time (s),zmp_x,init_x_offset
0.023,2.8099380841700623,0.0
0.126,2.801513911418745,-0.019098293036222458
0.226,2.8198281653128543,-0.019132696092128754
0.326,2.836807973768577,-0.01913677714765072
0.426,2.8235750662762573,-0.019118307158350945
0.526,2.8284154288463146,-0.0191204696893692
0.623,2.8216611611262463,-0.019116004928946495
0.727,2.8364314698111217,-0.01912107691168785
0.826,2.8277770492212673,-0.01910622976720333
0.925,2.8301913422618283,-0.01910542882978916
1.025,2.827955419658595,-0.019101697951555252
1.126,2.8364897302802827,-0.019101575016975403
1.225,2.8384798474717368,-0.019090553745627403
1.325,2.8462191732403994,-0.019079187884926796
1.425,2.8369218227432285,-0.01906019076704979
1.525,2.8518244387504312,-0.0190568920224905
1.626,2.8557929868240235,-0.019035179167985916
1.725,2.8567594368326508,-0.019012728706002235
1.827,2.837000038029035,-0.018993530422449112
1.924,2.675547723055741,-0.01900346390902996
2.024,2.8645910805856682,-0.019218070432543755
2.124,2.1966066888545557,-0.019147779792547226
2.224,2.5189308344103507,-0.019946567714214325
2.325,2.734468283040002,-0.020173022523522377
2.425,1.875022162836198,-0.020078297704458237
2.525,1.7805623726481863,-0.02110261097550392
2.625,2.84604951810587,-0.02204296924173832
2.725,4.6356432686873195,-0.02143143117427826
2.825,5.045016177333618,-0.01865152083337307
2.923,4.411171420749554,-0.015903595834970474
3.026,2.252489159452642,-0.014516578055918217
3.124,-0.10922086838718692,-0.01617007702589035
3.225,-0.489529864659002,-0.020515862852334976
3.325,-0.34378538184182794,-0.02447928860783577
3.425,0.9057708968879159,-0.027463477104902267
3.524,3.2225475844574056,-0.028251394629478455
3.624,4.312662658325604,-0.02591625414788723
3.725,5.667232823267208,-0.022652795538306236
3.825,5.1853556694125675,-0.018308177590370178
3.926,3.259699227721255,-0.015449287369847298
4.024,2.967577197732633,-0.015627015382051468
4.124,2.2309240771216365,-0.016143113374710083
4.224,0.012341407987089159,-0.017498908564448357
4.325,-1.1194569466961815,-0.021423328667879105
4.425,-1.3462393796621852,-0.026011567562818527
4.524,-0.8644408030109632,-0.029972441494464874
4.624,3.0454841151478487,-0.032524436712265015
4.724,4.331391178195174,-0.029561329632997513
4.825,3.816685776706062,-0.02554488368332386
4.925,6.035331258946753,-0.022990548983216286
5.027,5.230103261738234,-0.0181072149425745
5.126,3.015309866771762,-0.0152312396094203
5.227,3.171681251834557,-0.015765395015478134
5.328,2.3931397691006557,-0.01599256508052349
5.424,0.4502964771418385,-0.017170831561088562
5.526,-1.1468154443410836,-0.02060028724372387
5.624,-1.6260562291509975,-0.02538815326988697
5.724,-1.8583586332296695,-0.02983187325298786
5.825,1.4118611664621343,-0.033684197813272476
5.924,3.582607553248038,-0.0325801745057106
6.026,3.9498649016662206,-0.028918404132127762
6.124,5.68167531752991,-0.02551889605820179
6.227,4.386448902914992,-0.020582571625709534
6.325,2.716141816707228,-0.018291402608156204
6.424,1.5998008550032168,-0.018596461042761803
6.525,2.6488235771281134,-0.020269423723220825
6.625,3.0264483681396084,-0.020265044644474983
6.724,3.2788394930583964,-0.019778182730078697
6.826,3.315390106468569,-0.019065631553530693
6.926,3.022724899079698,-0.018448805436491966
7.026,3.368002382998153,-0.018329955637454987
7.124,3.483573870893368,-0.017792921513319016
7.224,3.3117739892017957,-0.017215363681316376
7.325,3.6379597735323626,-0.01697321981191635
7.424,3.7177458722942878,-0.016361987218260765
7.524,3.5842893235919746,-0.01577087491750717
7.624,3.51787580610546,-0.015468809753656387
7.724,3.806855130284141,-0.015312166884541512
7.825,3.9020041169846924,-0.014816959388554096
7.923,3.68801359318443,-0.014299001544713974
8.025,3.546310562621314,-0.01415854413062334
8.123,3.3859464891668214,-0.014227557927370071
8.226,3.629347481384085,-0.014488034881651402
8.325,3.5665151876556687,-0.014384862966835499
8.428,3.558062204870584,-0.014382750727236271
8.524,3.538990307020497,-0.014391881413757801
8.624,3.583335492149077,-0.014423597604036331
8.726,3.525358746663124,-0.014392208307981491
8.826,3.648253535478611,-0.014441307634115219
8.927,3.71158734133232,-0.0143232811242342
9.024,3.510522577872847,-0.014147793874144554
