time (s),zmp_x,init_x_offset
0.017,3.1000231752235985,0.0
0.119,3.106591077732017,-0.017299894243478775
0.218,3.1299166551622983,-0.017316270619630814
0.319,3.128177788609969,-0.017302311956882477
0.418,3.1280081806148585,-0.017293164506554604
0.518,3.111525963981316,-0.017286041751503944
0.621,3.133721234417404,-0.017299463972449303
0.719,3.115887264882514,-0.0172844547778368
0.819,3.126515596770926,-0.017293134704232216
0.919,3.1184983135621174,-0.01728774979710579
1.019,3.1189209834949416,-0.017292741686105728
1.119,3.134333688583303,-0.01729624532163143
1.219,3.1542468459200936,-0.017281169071793556
1.318,3.1299123930014847,-0.017246007919311523
1.42,3.1280236964758528,-0.017246108502149582
1.519,3.118838474645103,-0.017248379066586494
1.62,3.1076808159657343,-0.017260851338505745
1.718,3.132778914633728,-0.017283771187067032
1.819,3.125413153611092,-0.01727299392223358
1.918,3.1201757347591306,-0.017272915691137314
2.019,3.019237873214117,-0.01727892830967903
2.119,2.0323195771187796,-0.017400827258825302
2.219,1.0771856527159185,-0.018643170595169067
2.318,2.491403101578235,-0.02074500173330307
2.418,3.119501989094821,-0.020785972476005554
2.518,3.457543323758781,-0.02009015716612339
2.62,3.4698504170495843,-0.01914137415587902
2.718,3.472303584116188,-0.01836807280778885
2.819,3.9490762088214035,-0.017746586352586746
2.918,3.874315175032488,-0.016696341335773468
3.017,2.8882493399912983,-0.01594286784529686
3.118,2.517308369456047,-0.01648392528295517
3.219,0.5475072121424298,-0.01734706200659275
3.319,1.115336946378286,-0.020322540774941444
3.422,2.230903293453612,-0.022044241428375244
3.518,3.5044318146696054,-0.02212754637002945
3.619,3.2449689492325158,-0.020716896280646324
3.717,3.847943917307866,-0.019889352843165398
3.821,4.15607598669333,-0.018527867272496223
3.92,2.537944281345109,-0.01708124577999115
4.022,2.407352928957242,-0.017800981178879738
4.118,1.695501187564423,-0.018528254702687263
4.221,2.3790643364129553,-0.01993582211434841
4.319,1.6312554603054539,-0.020268943160772324
4.419,1.817388648443074,-0.02140289917588234
4.518,0.9990483817725658,-0.02209414727985859
4.619,1.187994814811143,-0.023596422746777534
4.719,2.89498357410979,-0.024579063057899475
4.818,2.7537058030447135,-0.023385070264339447
4.918,1.2045559445441918,-0.022593757137656212
5.018,2.2523372944327833,-0.02375772036612034
5.118,1.5796036545181709,-0.0234734658151865
5.218,0.8584309303914277,-0.024026431143283844
5.32,2.3029129876441026,-0.02530536614358425
5.421,3.057698395391969,-0.024652913212776184
5.52,2.24400142771796,-0.023255400359630585
5.617,3.0774911319692224,-0.023081278428435326
5.719,2.3070694970632792,-0.021975133568048477
5.819,0.8853568296122281,-0.021983906626701355
5.918,2.0621844500037265,-0.023640111088752747
6.019,2.5642122339185374,-0.023599954321980476
6.119,1.33585993081492,-0.02298547700047493
6.219,1.980687748037128,-0.02391878515481949
6.319,0.7688931406125801,-0.02391742914915085
6.42,-0.1770890336065586,-0.025322027504444122
6.52,2.4609114055556645,-0.027543045580387115
6.621,3.2425426753782203,-0.026259779930114746
6.718,2.5095300590852405,-0.024326473474502563
6.82,3.870185276337387,-0.02363012358546257
6.919,2.4062752170308777,-0.021494684740900993
7.022,0.20323636414816781,-0.02148446813225746
7.121,1.136555674699797,-0.02403181977570057
7.221,1.9681236423192803,-0.024987051263451576
7.32,1.6338794945860913,-0.02478661760687828
7.421,2.867534436311442,-0.025013994425535202
7.52,1.88256179150925,-0.023764856159687042
7.622,0.31374405030763053,-0.023908112198114395
7.72,1.1025883644280694,-0.02584254741668701
7.821,1.7599057173931247,-0.026475034654140472
7.919,1.7746541649728207,-0.026218537241220474
8.017,3.5105974268096265,-0.02599623054265976
8.119,3.2981853665933016,-0.023804692551493645
8.219,2.1606416054343978,-0.02229785919189453
8.319,2.287332152543615,-0.02241194248199463
8.419,2.310095794744914,-0.022356249392032623
8.52,1.8301988152987163,-0.02228528819978237
8.621,2.226994086881586,-0.02278519980609417
8.719,1.311692432858025,-0.022724846377968788
8.817,-0.6363018090574296,-0.0237383134663105
8.917,0.28018410657955106,-0.026808761060237885
9.023,1.5056066347566024,-0.0282019954174757
