time (s),zmp_x,zmp_y,zmp_x_lama,zmp_y_lama
0.056,1.4626114165135242,0.4979812698006516,-1.1358759110663499,0.5752771450343619
0.16,2.083837893263995,2.2017683595629345,4.568743800265878,9.016916718612066
0.26,2.312884564282065,1.9680150221731314,3.2290712483543436,1.0330016726139193
0.36,2.393653028768827,1.770194990230274,2.716726886715874,0.978914862458844
0.456,2.0190978066346355,0.5819953020609452,0.5208769180978686,-4.17080345061637
0.564,1.7862196543447122,0.4280285748515442,0.8547070451850197,-0.18783833398605992
0.656,1.2836533849232667,0.5868025780781543,-0.7266116927625159,1.2218985909845943
0.759,1.4298368984613612,1.69348044432556,2.014570952613739,6.1201919093151815
0.861,1.9132522343430072,1.947018445748713,3.846913577869591,2.9611704514413235
0.959,2.328522736507854,1.6679314066074635,3.9896047451672403,0.5515832500424653
1.057,1.9748705631968906,0.466557217481661,0.5602618699530365,-4.338939539021549
1.157,1.4370381175612716,0.2861004531254546,-0.7142916649812042,-0.43572660429937105
1.259,0.9799968382601536,0.44601739041843086,-0.8481682789443192,1.0856851395903357
1.359,1.5757058801217512,1.7738139501681125,3.9585420475681405,7.085000189166839
1.459,1.8342864183357752,2.24859053785391,2.8686085711918707,4.147696888597098
1.558,2.0058924501579734,1.8056005021626282,2.692316577446764,0.033640359397500486
1.658,1.801075909502729,0.590649251272519,0.9818097468817516,-4.269155752287919
1.759,1.2437309032220742,0.41268099651014933,-0.9856491219005462,-0.2991920225393293
1.858,1.147096083258082,0.6261583798931896,0.7605568034021135,1.48006791342535
1.961,1.6962656767926192,1.6018837543594842,3.8929440509307662,5.5047852522246625
2.06,1.6908196023310147,2.259272658859605,1.6690353044845958,4.888828276860086
2.16,1.521330114662967,1.8754300726887807,0.8433721639907752,0.3400597280054842
2.26,1.419360375632536,0.7606706170363806,1.0114814195108117,-3.6983672055732195
2.359,1.075137414979367,0.30627540577541346,-0.30175442763330856,-1.5113054392684555
2.456,0.5823612900966334,0.6318285607870475,-1.3887432094343015,1.9340411808335838
2.56,0.7882640489203708,1.7018726257251018,1.6118750842153202,5.982048885477319
2.659,1.1386043862685828,2.296661331872799,2.5399657356614314,4.675816156463588
2.759,1.5432658740429301,1.746206760394722,3.1619118251403187,-0.45561152551758627
2.861,1.5013480365780052,0.8048040629981086,1.3336766867183043,-2.9608067265883453
2.96,1.1687134701559554,0.6858093451784466,-0.16182479553224413,0.20983047389979845
3.06,1.0914252979553511,1.0706224294287066,0.7822726091529346,2.609874766429746
3.16,1.2598577397294901,1.6257284473866103,1.933587506826045,3.846152519218225
