time (s),zmp_x,zmp_y,area,perimeter,com_x,com_y,com_z,init_x_offset
0.027,0.45985969734382337,1.359650585154444,229.32999999999998,42.70768096208106,2.3519585352250987,0.7422760711690637,24.872441709304997,0.0
0.129,0.5283805655934382,1.4822805292740702,229.32999999999998,42.70768096208106,2.689950462191612,1.7478762286307286,24.78872981551343,-0.01629401184618473
0.229,0.5448212811264002,1.3175389001730617,229.32999999999998,42.70768096208106,2.5930767453532866,0.6990781215472974,24.849549508360493,-0.01608452945947647
0.326,0.5723874571191687,1.4847648090723229,229.32999999999998,42.70768096208106,2.595095772713247,1.8921276365168362,24.78824499390061,-0.0160245168954134
0.431,0.5120735275732957,1.345063167207092,229.32999999999998,42.70768096208106,2.330879569911725,0.7925172785650186,24.872766762429414,-0.015939677134156227
0.53,0.4970948372152826,1.4483993983370098,229.32999999999998,42.70768096208106,2.3921369623050146,1.6604153497069085,24.82505276392421,-0.01613438129425049
0.627,0.49939655823716933,1.391776583632217,229.32999999999998,42.70768096208106,2.502031273578175,1.0880090198675558,24.844864616141948,-0.016180073842406273
0.728,0.45359888638763923,1.4070422041129094,229.32999999999998,42.70768096208106,2.303696406832422,1.3445296694933278,24.85199705484785,-0.01616421341896057
0.828,0.497405347601672,1.398039237965058,229.32999999999998,42.70768096208106,2.6262420704153002,1.245945836106002,24.82506873528655,-0.016305075958371162
0.928,0.5356460429412304,1.3671157408018138,229.32999999999998,42.70768096208106,2.6402726177692153,1.1681592502411264,24.827317692607966,-0.016179166734218597
1.028,0.5600289698564898,1.4094961772781132,229.32999999999998,42.70768096208106,2.606711344056014,1.4140152538225774,24.818046493168655,-0.016052676364779472
1.132,0.5066437091047615,1.3681805610928282,229.32999999999998,42.70768096208106,2.339308631707223,1.1334305287820796,24.858927658560365,-0.01598777249455452
1.227,0.5714442115577159,1.4726282178862589,229.32999999999998,42.70768096208106,2.7386799762143568,1.6546703294247025,24.788974495829162,-0.016150951385498047
1.327,0.4154823526275959,1.4011217061031627,229.32999999999998,42.70768096208106,1.9534102447804653,1.0598805280403756,24.895277039687258,-0.01594255305826664
1.431,0.3696178962418557,1.547452291600894,112.155,33.650265400697826,2.2377282416222326,1.8527908892892717,24.82546855174772,-0.016422312706708908
1.527,0.303343937892933,1.3985244413818703,229.32999999999998,42.70768096208106,2.1301352789272716,0.813176930283599,24.89026708674662,-0.016569912433624268
1.628,0.3445059375081181,1.5249102026899783,229.32999999999998,42.70768096208106,2.485982990931757,1.7784810078513908,24.807456092163296,-0.016767090186476707
1.728,0.37440171744687323,1.3478815394725638,229.32999999999998,42.70768096208106,2.523445704052992,0.6790576343885192,24.85856482220443,-0.016646699979901314
1.829,0.4196156715207353,1.5111028122599148,112.155,33.650265400697826,2.560621918509431,1.8872800858465535,24.791967225523614,-0.016548603773117065
1.928,0.38186084769360784,1.3497210304231282,229.32999999999998,42.70768096208106,2.265048599095564,0.7416318822738918,24.880344509708053,-0.016417039558291435
2.028,0.3425461264750389,1.4089365841679955,229.32999999999998,42.70768096208106,2.2386405888812124,1.4859736674461945,24.84984107581852,-0.01652563363313675
2.128,0.3953097477286893,1.3292846160648966,229.32999999999998,42.70768096208106,2.5794199497646177,0.9745592108184921,24.841903515849644,-0.01665269210934639
2.226,0.2831584374999747,1.3628999871739207,229.32999999999998,42.70768096208106,1.9766141798313384,1.3610538692927363,24.87907354684789,-0.016484307125210762
2.327,0.28914780579864763,1.4168392136724592,229.32999999999998,42.70768096208106,2.3223105944802325,1.4646425103181866,24.84352429002116,-0.016834234818816185
2.428,0.40777618386490566,1.3190964541264472,229.32999999999998,42.70768096208106,2.80247737466892,0.9185526762170744,24.819994863227706,-0.016810782253742218
2.528,0.4446698973178531,1.4334117463681593,229.32999999999998,42.70768096208106,2.5609552633252646,1.6625147212540874,24.807989502127207,-0.016453256830573082
2.628,0.4955773579690814,1.2908422032844495,229.32999999999998,42.70768096208106,2.6640872238522832,0.7492263788350183,24.840971020563547,-0.016332527622580528
2.728,0.46741490918053374,1.4493581784833047,229.32999999999998,42.70768096208106,2.3517221714501484,1.822139920886926,24.817262529339978,-0.016184784471988678
