time (s),zmp_x,init_x_offset
0.0,3.3221451691004775,0.0
0.098,3.326852125771757,-0.013831455260515213
0.197,3.3287246939976716,-0.013807586394250393
0.296,3.3228968119355367,-0.013798090629279613
0.396,3.326936447141638,-0.013827644288539886
0.499,3.3248469181041305,-0.013807158917188644
0.594,3.3223216203839994,-0.01381775550544262
0.696,3.3245438690614684,-0.013830561190843582
0.796,3.3238931384044075,-0.013819292187690735
0.896,3.3220395784347225,-0.013822591863572598
0.996,3.326451432248812,-0.013831990770995617
1.098,3.3253282714287598,-0.013809618540108204
1.194,3.2598882589109888,-0.013815314508974552
1.296,3.0097436881565782,-0.014147154986858368
1.397,4.207329598033953,-0.015415535308420658
1.498,4.693556606235685,-0.009341435506939888
1.596,4.1099468937142785,-0.006873570382595062
1.696,2.7045790979579447,-0.009835554286837578
1.796,1.9310861833591952,-0.016962779685854912
1.896,2.6195168227733494,-0.020884482190012932
1.996,3.4058845984465913,-0.01739404909312725
2.097,3.775162520784354,-0.013406805694103241
2.196,3.122257623814922,-0.011533924378454685
2.297,2.195357615163036,-0.014845037832856178
2.396,1.5762515114247289,-0.019544551149010658
2.497,2.7808267641307465,-0.02268378622829914
2.594,3.7952687683748842,-0.016576196998357773
2.696,3.622458779900414,-0.011431938037276268
2.797,2.865492097344521,-0.012308451347053051
2.896,2.2081362768351225,-0.016146931797266006
2.995,2.3378633610086452,-0.01947976090013981
3.096,3.6749236635136153,-0.01882203482091427
3.195,4.284765364094913,-0.012042353861033916
3.295,3.777090138224529,-0.008948493748903275
3.397,2.3164797089468716,-0.011524147354066372
3.497,1.8980160610460577,-0.018930450081825256
3.597,2.855226999588227,-0.02105216309428215
3.695,3.840220285745148,-0.016198977828025818
3.796,3.974774344439061,-0.011203920468688011
3.898,3.417164201084605,-0.01052134484052658
3.996,2.2353158646999303,-0.013349604792892933
4.097,1.793779849025582,-0.019341956824064255
4.198,3.202477586444017,-0.021580705419182777
4.297,4.441628494512009,-0.014438271522521973
4.398,4.29182637990456,-0.00815240852534771
4.497,3.37518745238627,-0.008912662044167519
4.597,2.55566401014148,-0.013562476262450218
4.698,2.833120092974757,-0.017717784270644188
4.797,4.277664140777651,-0.01631106249988079
4.898,5.063326287066274,-0.008984530344605446
4.996,4.23007296957413,-0.004995799623429775
5.098,2.3138331060293904,-0.009226029738783836
5.196,1.5292814630429714,-0.018943868577480316
5.297,2.289044627039376,-0.022921985015273094
5.396,3.320651571856983,-0.019069548696279526
5.498,4.418522721285729,-0.01383902970701456
5.596,3.8523419609595084,-0.008269679732620716
5.697,2.2584691694596595,-0.011142431758344173
5.797,1.3884755514180749,-0.019224567338824272
5.897,2.315932019604892,-0.023636091500520706
5.997,3.5189644739594756,-0.01893322728574276
6.098,4.509963585595073,-0.012833339162170887
6.197,3.758519870350805,-0.007805563043802977
6.297,2.2313566601499626,-0.011618341319262981
6.396,1.504232061136936,-0.019362030550837517
6.498,2.3382244283420506,-0.023049021139740944
6.596,3.6525463533324656,-0.018820203840732574
6.696,4.500195789073384,-0.012155850417912006
6.797,3.8195091874619638,-0.007855142466723919
6.897,2.240930865506486,-0.011308979243040085
6.997,1.5131053901941587,-0.01931348815560341
7.097,2.254839422621864,-0.023004019632935524
7.197,3.438005257402499,-0.019242972135543823
7.297,4.228166008138922,-0.01324391458183527
7.396,3.381437163746228,-0.009235706180334091
7.497,2.0551120189919465,-0.013530782423913479
7.596,1.4616406473250343,-0.020255625247955322
7.697,2.2884814310461996,-0.023265022784471512
7.797,3.814992894969789,-0.019072404131293297
7.896,4.365113085338945,-0.011331887915730476
7.997,3.7231111117790046,-0.0085407430306077
8.097,2.0143495939259033,-0.011797943152487278
8.196,1.668810459325167,-0.02046230249106884
8.297,2.7181044903427294,-0.022214408963918686
8.396,3.937677343433556,-0.016894204542040825
8.497,4.823550240653969,-0.010709540918469429
8.597,4.177781925569662,-0.006213541142642498
8.698,2.3151584091131774,-0.009491365402936935
8.796,1.5893631010298286,-0.01893715001642704
8.897,2.4386963480315496,-0.022617293521761894
8.996,3.5597089014054437,-0.01831080950796604
9.097,4.456327981720104,-0.012626701034605503
9.196,3.694613082255812,-0.008077801205217838
